hwid,name,available,location,description,brand,model,os,type
237,Apple iPhone 4S (2) (16GB) weiß,t,cologne,iOS 7.1 (7.0) Referenzgerät !!!! NICHT AKTUALISIEREN !!\n\nSmartphone.\n\nIMEI-Nr.: 012936009458143\nUDID: ee0f240ee81614d0254573989226d4293b94e871\n\nBlue-Box-Inhalt:\n- Phone\n- Datenkabel\n- Stecker\n- Sim Fach Öffner\n\nKleine Gehäuse-Beschädigung im Kunstsoff oben links in der Ecke. (2012-05-21)\n\nWar das Firmenhandy von Bianca Nowakowski (Ehemaliges Sales-Gerät).\n,Apple,iPhone,iOS 7.1,mobile
581,Bluetooth Freisprechanlage,t,cologne,Plantronics Calisto 620\n\nKann man entweder über den beigefügten USB Adapter koppeln oder direkt per Bluetooth.\n\nZubehör:\n   * Freisprechgerät\n   * Hülle\n   * Stromadapter D\n   * Stromadapter UK\n   * Stromadapter USB\n   * USB - Kabel\n   * USB Dongle\n   * Bedienungsanleitung,unspecified,unspecified,unspecified,unspecified
549,Google Nexus 7 (32 GB) (2013),t,cologne,Bitte nicht Updaten!!!\n\nTablet. WLAN-fähig.\nAndroid 4.3\n\nSeriennummer: D7OKBC636850\n\nBox-Inhalt:\n- Tablet\n- USB-Ladekabel\n- Stromnetzstecker,Asus,Nexus 7,Android OS 4.3,tablet
572,Nokia Lumia 720 (2),t,berlin,Smartphone. WLAN-Unterstützung\nOS: Windows Phone 8.0 (WP 8.0)\n\nIMEI-Nr.: 355911050569911\n\nBlue-Box-Inhalt:\n- Phone\n- Datenkabel\n- SIM-Fach-Öffner\n- Stromnetzstecker,Nokia,Lumia 720,Windows Phone 8.0,mobile
593,Google Chromecast(2),t,cologne,PC-TV Spiegel-HDMI-Stick\n\nBlue-Box-Inhalt:\n- Stick\n- USB-Kabel\n- HDMI-Kabel\n- Stromnetzstecker EU,unspecified,unspecified,unspecified,unspecified
579,Samsung GT-I8190 (Galaxy S3 Mini),t,cologne,Smartphone. WLAN-Unterstützung. \n\nIMEI-Nr.: 359532059352574.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Ladekabel\n- Stromnetzstecker,Unspecified,Android,Android OS 4.1,mobile
585,Samsung SGH-i550,t,cologne,Handy. Keine WLAN Unterstützung. SIM-Karte erforderlich.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel,Samsung,SGH-i550,Series60 3.1,mobile
586,Nokia 6210 Navigator,t,cologne,Handy. Keine WLAN-Unterstützung. SIM-Karte erforderlich.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladegerät,Nokia,6210 Navigator,Series60 3.2,mobile
587,Nokia E61i,t,cologne,Handy. WLAN-Unterstützung.\n\nBlack-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel,Nokia,E61i,Series60 3.0,mobile
588,LG KM900,t,cologne,Smartphone. WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Datenkabel\n- Stromnetzstecker,generic,-,Vendor Specific 1.0,unspecified
589,Nokia N900 (2),t,cologne,Smartphone. WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel,Nokia,N900,Maemo OS 5.0,mobile
595,Samsung SM-G900F (Samsung Galaxy S5),t,cologne,Smartphone. \nWLAN-Unterstützung.\n\nIMEI: 352558066907370\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Stromnetzadapter\n- Micro-USB-Kabel,Samsung,Galaxy S5,Android OS 4.42,mobile
594,Sony XPERIA Z2 Tablet,t,cologne,Tablet. \nWLAN-Fähig.\n\nSN: 430101660002633\n\nBox-Inhalt:\n- Tablet\n- Micro-USB-Kabel\n- Stromnetzstecker [Adapter]\n- Karton/Verpackung,Sony,Xperia Tablet Z2,Android OS 4.42,tablet
596,Tolino Shine,t,cologne,E-Book / Tablet\nWLAN-Unterstützung.\n\nInhalt:\n- Reader\n- Micro-USB-Kabel,Unspecified,Android,Android OS 2.34,mobile
